plant,estimator,group,profile,scenario,seed,rmse,rmse_ss,mae,max_err,final_err,conv_time,diverged,rmse_v,ns_per_step,bytes,capacity_err_end,bound_violation,bound_width,real_type
spm,CoulombOCVHybrid,baselines,evtol,nominal,3,0.00548974,0.00658555,0.00519224,0.00807308,0.00683958,0,0,0.0108469,205.677,4192,nan,nan,nan,double
spm,EKF,kalman,evtol,nominal,3,0.0371707,0.0380747,0.0358411,0.0442485,-0.0367937,0,0,0.00105096,452.735,4336,nan,nan,nan,double
spm,UKF,kalman,evtol,nominal,3,0.0469242,0.0461175,0.0451921,0.0609838,-0.0417402,0.2,0,0.00130934,1368.69,4776,nan,nan,nan,double
spm,LKF,kalman,evtol,nominal,3,0.0131345,0.0173889,0.0111027,0.0273013,-0.0272903,0,0,0.00106802,330.314,4680,nan,nan,nan,double
spm,IEKF,kalman,evtol,nominal,3,0.0369556,0.0381183,0.0354149,0.043305,-0.0363381,0,0,0.00105294,565.264,4336,nan,nan,nan,double
spm,CKF,kalman,evtol,nominal,3,0.0487011,0.0474862,0.0467837,0.0648053,-0.0445185,0,0,0.00105405,1177.73,4560,nan,nan,nan,double
spm,SCKF,kalman,evtol,nominal,3,0.0487011,0.0474862,0.0467837,0.0648053,-0.0445185,0,0,0.00105405,1510.13,4696,nan,nan,nan,double
spm,CKF5,kalman,evtol,nominal,3,0.0487412,0.0475666,0.0468959,0.0645588,-0.0445274,0.1,0,0.00106308,3765.08,5624,nan,nan,nan,double
spm,CDKF,kalman,evtol,nominal,3,0.0487412,0.0475666,0.0468959,0.0645588,-0.0445274,0.1,0,0.00106308,1286.68,4312,nan,nan,nan,double
spm,GHKF,kalman,evtol,nominal,3,0.0487412,0.0475666,0.0468959,0.0645588,-0.0445274,0.1,0,0.00106308,11297.9,10784,nan,nan,nan,double
spm,IPLF,kalman,evtol,nominal,3,0.0372923,0.0384247,0.0357106,0.0436254,-0.0371417,0.2,0,0.00131497,1948.29,4784,nan,nan,nan,double
spm,EIF,kalman,evtol,nominal,3,0.0371707,0.0380747,0.0358411,0.0442485,-0.0367937,0,0,0.00105096,1184,4472,nan,nan,nan,double
spm,SR-EKF,kalman,evtol,nominal,3,0.0371707,0.0380747,0.0358411,0.0442485,-0.0367937,0,0,0.00105096,779.381,4440,nan,nan,nan,double
spm,SR-UKF,kalman,evtol,nominal,3,0.0469242,0.0461175,0.0451921,0.0609838,-0.0417402,0.2,0,0.00130934,1460.1,4896,nan,nan,nan,double
spm,UD-EKF,kalman,evtol,nominal,3,0.0371707,0.0380747,0.0358411,0.0442485,-0.0367937,0,0,0.00105096,460.054,4480,nan,nan,nan,double
spm,SO-EKF,kalman,evtol,nominal,3,0.0359131,0.0362561,0.0348436,0.0465227,-0.0333698,0.2,0,0.00128408,3957.65,4496,nan,nan,nan,double
spm,SageHusa-AKF,adaptive_kalman,evtol,nominal,3,0.0329079,0.0335691,0.0317354,0.040567,-0.0314006,0,0,0.00122585,508.51,4808,nan,nan,nan,double
spm,IAE-AKF,adaptive_kalman,evtol,nominal,3,0.0297091,0.0303233,0.0285029,0.0368851,-0.0283398,0,0,0.00162655,466.466,5040,nan,nan,nan,double
spm,VB-AKF,adaptive_kalman,evtol,nominal,3,0.032603,0.0331811,0.0314647,0.0402884,-0.0315503,0,0,0.00124724,823.47,4408,nan,nan,nan,double
spm,STF,adaptive_kalman,evtol,nominal,3,0.0116342,0.00860244,0.0089952,0.0648932,0.0134543,0,0,0.000967491,501.293,4680,nan,nan,nan,double
