t,i_meas,v_meas,T_true,soc_true,soc_est,soc_std,v_pred,soc_lower,soc_upper,capacity_est,capacity_true,v_true
184,-4.98,3.665,298.768,0.250875,0.250889,-1,3.66501,nan,nan,nan,4.99701,3.66509
185,-4.94,3.666,298.771,0.251152,0.251166,-1,3.66535,nan,nan,nan,4.997,3.66544
186,-4.98,3.668,298.774,0.251428,0.251443,-1,3.66623,nan,nan,nan,4.99699,3.66579
187,-4.97,3.666,298.777,0.251705,0.25172,-1,3.66603,nan,nan,nan,4.99698,3.66614
188,-4.96,3.671,298.78,0.251981,0.251997,-1,3.6665,nan,nan,nan,4.99697,3.66649
189,-5.03,3.662,298.783,0.252258,0.252273,-1,3.6672,nan,nan,nan,4.99696,3.66684
190,-4.93,3.668,298.786,0.252534,0.25255,-1,3.66672,nan,nan,nan,4.99695,3.66719
191,-4.95,3.669,298.789,0.252811,0.252825,-1,3.66744,nan,nan,nan,4.99695,3.66753
192,-5,3.669,298.792,0.253087,0.253101,-1,3.66785,nan,nan,nan,4.99694,3.66788
193,-4.91,3.667,298.795,0.253364,0.253377,-1,3.66735,nan,nan,nan,4.99693,3.66823
194,-5.07,3.671,298.798,0.253641,0.253651,-1,3.66941,nan,nan,nan,4.99692,3.66857
195,-5.12,3.667,298.801,0.253917,0.25393,-1,3.67066,nan,nan,nan,4.99691,3.66892
196,-4.98,3.666,298.804,0.254194,0.254206,-1,3.6693,nan,nan,nan,4.9969,3.66927
197,-5.01,3.671,298.807,0.25447,0.254483,-1,3.66978,nan,nan,nan,4.99689,3.66961
198,-4.99,3.671,298.81,0.254747,0.25476,-1,3.66948,nan,nan,nan,4.99688,3.66995
199,-5.01,3.671,298.812,0.255023,0.255037,-1,3.67047,nan,nan,nan,4.99687,3.6703
200,-4.98,3.668,298.815,0.2553,0.255313,-1,3.67025,nan,nan,nan,4.99687,3.67064
201,-5,3.672,298.818,0.255576,0.255589,-1,3.67051,nan,nan,nan,4.99686,3.67098
202,-4.94,3.67,298.821,0.255853,0.255865,-1,3.67114,nan,nan,nan,4.99685,3.67133
203,-4.97,3.674,298.824,0.25613,0.256141,-1,3.67196,nan,nan,nan,4.99684,3.67167
204,-4.98,3.673,298.827,0.256406,0.256417,-1,3.67209,nan,nan,nan,4.99683,3.67201
205,-4.97,3.676,298.83,0.256683,0.256694,-1,3.67226,nan,nan,nan,4.99682,3.67235
206,-5.04,3.673,298.833,0.256959,0.256971,-1,3.6731,nan,nan,nan,4.99681,3.67269
207,-5.07,3.673,298.835,0.257236,0.257247,-1,3.67457,nan,nan,nan,4.9968,3.67304
208,-5.04,3.671,298.838,0.257512,0.257524,-1,3.67456,nan,nan,nan,4.99679,3.67338
209,-4.96,3.674,298.841,0.257789,0.257802,-1,3.67318,nan,nan,nan,4.99679,3.67372
210,-5,3.672,298.844,0.258066,0.258078,-1,3.67435,nan,nan,nan,4.99678,3.67406
211,-4.95,3.676,298.847,0.258342,0.258355,-1,3.67403,nan,nan,nan,4.99677,3.67439
212,-5.02,3.671,298.85,0.258619,0.258631,-1,3.67586,nan,nan,nan,4.99676,3.67473
213,-5.03,3.674,298.852,0.258895,0.258908,-1,3.67564,nan,nan,nan,4.99675,3.67507
214,-5.06,3.677,298.855,0.259172,0.259186,-1,3.67651,nan,nan,nan,4.99674,3.67541
215,-5.01,3.673,298.858,0.259448,0.259463,-1,3.67632,nan,nan,nan,4.99673,3.67575
216,-4.98,3.679,298.861,0.259725,0.259738,-1,3.67602,nan,nan,nan,4.99673,3.67609
217,-5.09,3.678,298.864,0.260002,0.260013,-1,3.67723,nan,nan,nan,4.99672,3.67642
218,-4.98,3.674,298.866,0.260278,0.260291,-1,3.67632,nan,nan,nan,4.99671,3.67676
219,-5,3.676,298.869,0.260555,0.260566,-1,3.67747,nan,nan,nan,4.9967,3.6771
220,-5.01,3.677,298.872,0.260831,0.260843,-1,3.67809,nan,nan,nan,4.99669,3.67743
221,-5.06,3.679,298.874,0.261108,0.26112,-1,3.67868,nan,nan,nan,4.99668,3.67777
222,-5.03,3.677,298.877,0.261384,0.261397,-1,3.67842,nan,nan,nan,4.99667,3.6781
223,-5,3.676,298.88,0.261661,0.261675,-1,3.679,nan,nan,nan,4.99667,3.67844
224,-5.02,3.678,298.883,0.261938,0.261952,-1,3.67963,nan,nan,nan,4.99666,3.67877
225,-4.99,3.682,298.885,0.262214,0.26223,-1,3.67901,nan,nan,nan,4.99665,3.67911
226,-5.07,3.682,298.888,0.262491,0.262507,-1,3.68077,nan,nan,nan,4.99664,3.67944
227,-4.97,3.68,298.891,0.262767,0.262784,-1,3.68003,nan,nan,nan,4.99663,3.67977
228,-4.95,3.684,298.893,0.263044,0.263061,-1,3.67903,nan,nan,nan,4.99662,3.68011
229,-5.01,3.679,298.896,0.26332,0.263339,-1,3.6809,nan,nan,nan,4.99662,3.68044
230,-5.07,3.682,298.899,0.263597,0.263614,-1,3.6818,nan,nan,nan,4.99661,3.68077
231,-5.03,3.683,298.901,0.263874,0.263891,-1,3.68131,nan,nan,nan,4.9966,3.6811
232,-4.97,3.678,298.904,0.26415,0.264169,-1,3.68096,nan,nan,nan,4.99659,3.68144
233,-5,3.679,298.907,0.264427,0.264445,-1,3.68161,nan,nan,nan,4.99658,3.68177
234,-4.97,3.686,298.909,0.264703,0.264722,-1,3.68243,nan,nan,nan,4.99657,3.6821
235,-5.1,3.684,298.912,0.26498,0.265,-1,3.68371,nan,nan,nan,4.99657,3.68243
236,-5.04,3.682,298.914,0.265256,0.265277,-1,3.68347,nan,nan,nan,4.99656,3.68276
237,-4.97,3.687,298.917,0.265533,0.265554,-1,3.68207,nan,nan,nan,4.99655,3.68309
238,-5.03,3.682,298.92,0.26581,0.265829,-1,3.68358,nan,nan,nan,4.99654,3.68342
239,-5.02,3.685,298.922,0.266086,0.266105,-1,3.68433,nan,nan,nan,4.99653,3.68375
240,-5.03,3.685,298.925,0.266363,0.266382,-1,3.68388,nan,nan,nan,4.99652,3.68408
241,-4.99,3.688,298.927,0.266639,0.266659,-1,3.68435,nan,nan,nan,4.99652,3.68441
242,-5.01,3.686,298.93,0.266916,0.266936,-1,3.68516,nan,nan,nan,4.99651,3.68474
243,-4.99,3.684,298.933,0.267193,0.267213,-1,3.68492,nan,nan,nan,4.9965,3.68506
244,-5.05,3.685,298.935,0.267469,0.267488,-1,3.68622,nan,nan,nan,4.99649,3.68539
245,-5.11,3.682,298.938,0.267746,0.267767,-1,3.68704,nan,nan,nan,4.99648,3.68572
246,-4.97,3.682,298.94,0.268022,0.268043,-1,3.68591,nan,nan,nan,4.99647,3.68605
247,-4.97,3.687,298.943,0.268299,0.26832,-1,3.68673,nan,nan,nan,4.99647,3.68637
248,-5.08,3.687,298.945,0.268575,0.268597,-1,3.68748,nan,nan,nan,4.99646,3.6867
249,-5,3.684,298.948,0.268852,0.268876,-1,3.68657,nan,nan,nan,4.99645,3.68703
250,-5.04,3.689,298.95,0.269129,0.269153,-1,3.68806,nan,nan,nan,4.99644,3.68735
251,-4.93,3.687,298.953,0.269405,0.26943,-1,3.68739,nan,nan,nan,4.99643,3.68768
252,-4.93,3.686,298.955,0.269682,0.269706,-1,3.68731,nan,nan,nan,4.99643,3.688
253,-4.98,3.688,298.958,0.269958,0.269981,-1,3.68757,nan,nan,nan,4.99642,3.68833
254,-5.02,3.688,298.96,0.270235,0.270259,-1,3.68911,nan,nan,nan,4.99641,3.68865
255,-5.02,3.694,298.963,0.270512,0.270535,-1,3.68943,nan,nan,nan,4.9964,3.68898
256,-5.08,3.686,298.965,0.270788,0.270811,-1,3.69029,nan,nan,nan,4.99639,3.6893
257,-5,3.692,298.967,0.271065,0.271089,-1,3.68951,nan,nan,nan,4.99639,3.68962
258,-4.99,3.688,298.97,0.271341,0.271366,-1,3.69002,nan,nan,nan,4.99638,3.68995
259,-4.96,3.688,298.972,0.271618,0.271644,-1,3.68971,nan,nan,nan,4.99637,3.69027
260,-5.03,3.691,298.975,0.271895,0.27192,-1,3.69097,nan,nan,nan,4.99636,3.69059
261,-5.02,3.692,298.977,0.272171,0.272196,-1,3.69072,nan,nan,nan,4.99635,3.69091
262,-4.99,3.693,298.979,0.272448,0.272472,-1,3.6916,nan,nan,nan,4.99635,3.69123
263,-4.98,3.69,298.982,0.272724,0.272748,-1,3.69111,nan,nan,nan,4.99634,3.69156
